TV#,A,B,C,D,E,Batch Size
1,77,77,77,94,94,10
2,98,98,98,98,98,20
3,100,100,100,100,100,30
4,100,100,100,100,100,40
5,100,100,100,100,100,50
6,100,100,100,100,100,60
7,100,100,100,100,100,70
8,100,100,100,100,100,80
9,100,100,100,100,100,90
10,100,100,100,100,100,100
11,100,100,100,100,100,110
12,100,100,100,100,100,120
13,100,100,100,100,100,130
14,100,100,100,100,100,140
15,100,100,100,100,100,150
16,100,100,100,100,100,160
17,100,100,100,100,100,170
18,100,100,100,100,100,180
19,100,100,100,100,100,190
20,100,100,100,100,100,200
21,100,100,100,100,100,210
22,100,100,100,100,100,220
23,100,100,100,100,100,230
24,100,100,100,100,100,240
25,100,100,100,100,100,250
